occ_code,task_id,pi,normalized_time
11-9041.00,20174,0.0343006230541017,0.0472440944881889
11-9051.00,1097,0.2052867416838791,0.0337837837837837
11-9071.00,7201,0.1902298532397935,0.0387596899224806
11-9072.00,21400,0.0690184414882629,0.0101010101010101
11-9072.00,21406,0.088201337260734,0.0505050505050505
11-9111.00,46,0.0332653380687467,0.135593220338983
11-9111.00,47,0.0217944864403992,0.0338983050847457
11-9111.00,48,0.0185347703559226,0.0508474576271186
11-9111.00,49,0.0499114238630307,0.0508474576271186
11-9111.00,50,0.0315778668847311,0.0338983050847457
11-9111.00,51,0.04271800830539,0.0847457627118644
11-9111.00,52,0.0171179301058649,0.0508474576271186
11-9111.00,53,0.0471270861948312,0.1016949152542373
11-9111.00,54,0.1260935934428399,0.0677966101694915
11-9111.00,55,0.0545345813193356,0.0338983050847457
11-9111.00,56,0.0219382096714007,0.0423728813559322
11-9111.00,57,0.0193165014046176,0.0508474576271186
11-9111.00,58,0.0666757838577772,0.1016949152542373
11-9111.00,59,0.0701152835832934,0.0338983050847457
11-9111.00,60,0.1451941384909539,0.0254237288135593
11-9111.00,61,0.0668709203001104,0.0508474576271186
11-9111.00,62,0.0858843997592447,0.0338983050847457
11-9111.00,63,0.0813296779515095,0.0169491525423728
11-9121.02,15615,0.1289474055119309,0.025
11-9121.02,15616,0.0077834424735797,0.05
11-9121.02,15617,0.1040427874930704,0.01875
11-9121.02,15618,0.0124856271433681,0.1
11-9121.02,15619,0.0644240100688641,0.075
11-9121.02,15620,0.087199575495729,0.05
11-9121.02,15621,0.0139755944407142,0.075
11-9121.02,15622,0.0373345090305891,0.025
11-9121.02,15623,0.0385317797089991,0.0375
11-9121.02,15624,0.0102830018324237,0.025
11-9121.02,15625,0.1557354396007396,0.025
11-9121.02,15626,0.0798229551598941,0.05
11-9121.02,15627,0.0278065669510241,0.0375
11-9121.02,15628,0.0413360938006075,0.05
11-9121.02,15629,0.029747023904886,0.025
11-9121.02,15630,0.0306996080926481,0.0625
11-9121.02,15631,0.0136422057690582,0.0625
11-9121.02,15632,0.0372112193979696,0.0375
11-9121.02,15633,0.0104820082211267,0.05625
11-9121.02,15634,0.0149139614474511,0.05
11-9121.02,15635,0.0535951844553258,0.0625
11-9131.00,5270,0.2500037690862168,0.03125
11-9141.00,7219,0.0629830203971236,0.050632911392405
11-9141.00,7220,0.0109806891930295,0.050632911392405
11-9141.00,7221,0.0029401730200535,0.050632911392405
11-9141.00,7222,0.0191464415101164,0.050632911392405
11-9141.00,7223,0.0158588216098607,0.0632911392405063
